HEADER
LISTA DEL SORTEO EXTRAORDINARIO NO. 390
|PRIMER PREMIO 16780 ||| SEGUNDO PREMIO 46129 ||| TERCER PREMIO 77885|
REINTEGROS 0,9 ,5
FECHA DEL SORTEO: 08/06/2024 --- FECHA DE CADUCIDAD: 09/12/2024
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00044 P .... 600.00
00080 DT .... 600.00
00129 TT .... 1,000.00
00180 DT .... 600.00
00228 P .... 800.00
00280 DT .... 600.00
00380 DT .... 600.00
00422 P .... 800.00
00480 DT .... 600.00
00580 DT .... 600.00
00680 DT .... 600.00
00780 TT .... 1,200.00
00813 P .... 600.00
00870 PR .... 950.00
00876 P .... 15,000.00
VENDIDO POR MANUEL ROLANDO QUINILLA CHIVALAM, DE ANTIGUA GUATEMALA, SACATEPÉQUEZ
00879 PR .... 950.00
00880 DT .... 600.00
00885 TT .... 900.00
00980 DT .... 600.00

00MIL
01080 DT .... 600.00
01129 TT .... 1,000.00
01180 DT .... 600.00
01213 P .... 600.00
01280 DT .... 600.00
01380 DT .... 600.00
01480 DT .... 600.00
01526 P .... 600.00
01580 DT .... 600.00
01680 DT .... 600.00
01780 TT .... 1,200.00
01880 DT .... 600.00
01885 TT .... 900.00
01898 P .... 600.00
01979 PR .... 1,450.00
01980 DT .... 600.00

DOS MIL
02080 PDT .... 1,400.00
02129 TT .... 1,000.00
02180 DT .... 600.00
02280 DT .... 600.00
02380 DT .... 600.00
02480 DT .... 600.00
02580 DT .... 600.00
02629 PR .... 1,350.00
02680 DT .... 600.00
02780 TT .... 1,200.00
02880 DT .... 600.00
02885 TT .... 900.00
02980 DT .... 600.00

TRES MIL
03080 DT .... 600.00
03129 TT .... 1,000.00
03180 PDT .... 2,600.00
VENDIDO POR MARIA LUISA GARRIDO RAMÍREZ, DE VILLA CANALES, GUATEMALA
03207 P .... 1,200.00
03280 DT .... 600.00
03380 DT .... 600.00
03480 DT .... 600.00
03580 DT .... 600.00
03680 DT .... 600.00
03780 TT .... 1,200.00
03880 DT .... 600.00
03885 TT .... 900.00
03980 DT .... 600.00

CUATRO MIL
04080 DT .... 600.00
