HEADER
LISTA DEL SORTEO ORDINARIO NO. 3081
|PRIMER PREMIO 56793 ||| SEGUNDO PREMIO 02361 ||| TERCER PREMIO 19089|
REINTEGROS 3,1 ,9
FECHA DEL SORTEO: 26/04/2025 --- FECHA DE CADUCIDAD: 27/10/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00089 TT .... 500.00
00272 P .... 700.00
00361 TT .... 600.00
00436 P .... 1,000.00
00596 P .... 1,000.00
00773 PR .... 670.00
00793 TT .... 700.00

00MIL
01044 P .... 700.00
01077 P .... 2,000.00
VENDIDO POR EDWIN ORLANDO ARDIANO MÉRIDA, DE COATEPEQUE, QUETZALTENANGO
01089 TT .... 500.00
01361 TT .... 600.00
01793 TT .... 700.00
01992 P .... 700.00

DOS MIL
02089 TT .... 500.00
02098 P .... 600.00
02149 PR .... 770.00
02301 CR .... 670.00
02302 C .... 600.00
02303 CR .... 670.00
02304 C .... 600.00
02305 C .... 600.00
02306 C .... 600.00
02307 C .... 600.00
02308 C .... 600.00
02309 CR .... 670.00
02310 C .... 600.00
02311 CR .... 670.00
02312 C .... 600.00
02313 CR .... 670.00
02314 C .... 600.00
02315 C .... 600.00
02316 C .... 600.00
02317 C .... 600.00
02318 C .... 600.00
02319 CR .... 670.00
02320 C .... 600.00
02321 CR .... 670.00
02322 C .... 600.00
02323 CR .... 670.00
02324 C .... 600.00
02325 C .... 600.00
02326 C .... 600.00
02327 C .... 600.00
02328 C .... 600.00
02329 CR .... 670.00
02330 C .... 600.00
02331 CR .... 670.00
02332 C .... 600.00
02333 CR .... 670.00
02334 C .... 600.00
02335 C .... 600.00
02336 C .... 600.00
02337 C .... 600.00
02338 C .... 600.00
02339 CR .... 670.00
02340 C .... 600.00
02341 CR .... 670.00
02342 C .... 600.00
02343 CR .... 670.00
02344 C .... 600.00
02345 C .... 600.00
02346 C .... 600.00
02347 C .... 600.00
02348 C .... 600.00
02349 CR .... 670.00
02350 C .... 600.00
02351 CR .... 670.00
02352 C .... 600.00
02353 CR .... 670.00
02354 C .... 600.00
02355 C .... 600.00
02356 C .... 600.00
02357 C .... 600.00
02358 C .... 600.00
