HEADER
LISTA DEL SORTEO ORDINARIO NO. 3062
|PRIMER PREMIO 60784 ||| SEGUNDO PREMIO 01964 ||| TERCER PREMIO 63469|
REINTEGROS 4,4 ,9
FECHA DEL SORTEO: 26/10/2024 --- FECHA DE CADUCIDAD: 25/04/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00005 P .... 600.00
00469 TT .... 500.00
00594 PDR .... 840.00
00784 TTR .... 770.00
00964 TTR .... 670.00

00MIL
01004 PDR .... 840.00
01223 P .... 600.00
01469 TT .... 500.00
01784 TTR .... 770.00
01901 C .... 600.00
01902 C .... 600.00
01903 C .... 600.00
01904 CDR .... 740.00
01905 C .... 600.00
01906 C .... 600.00
01907 C .... 600.00
01908 C .... 600.00
01909 CR .... 670.00
01910 C .... 600.00
01911 C .... 600.00
01912 C .... 600.00
01913 C .... 600.00
01914 CDR .... 740.00
01915 C .... 600.00
01916 C .... 600.00
01917 C .... 600.00
01918 C .... 600.00
01919 CR .... 670.00
01920 C .... 600.00
01921 C .... 600.00
01922 C .... 600.00
01923 C .... 600.00
01924 CDR .... 740.00
01925 C .... 600.00
01926 C .... 600.00
01927 C .... 600.00
01928 C .... 600.00
01929 CR .... 670.00
01930 C .... 600.00
01931 C .... 600.00
01932 C .... 600.00
01933 C .... 600.00
01934 CDR .... 740.00
01935 C .... 600.00
01936 C .... 600.00
01937 C .... 600.00
01938 C .... 600.00
01939 CR .... 670.00
01940 C .... 600.00
01941 C .... 600.00
01942 C .... 600.00
01943 C .... 600.00
01944 CDR .... 740.00
01945 C .... 600.00
01946 C .... 600.00
01947 C .... 600.00
01948 C .... 600.00
01949 CR .... 670.00
01950 C .... 600.00
01951 C .... 600.00
01952 C .... 600.00
01953 C .... 600.00
01954 CDR .... 740.00
01955 C .... 600.00
01956 C .... 600.00
01957 C .... 600.00
01958 C .... 600.00
01959 CR .... 670.00
01960 C .... 600.00
01961 C .... 600.00
01962 P .... 3,000.00
VENDIDO POR FABIAN CHIC CHIPEL, DE ESTA CAPITAL
01963 P .... 3,000.00
