HEADER
LISTA DEL SORTEO ORDINARIO NO. 3091
|PRIMER PREMIO 27530 ||| SEGUNDO PREMIO 11293 ||| TERCER PREMIO 03796|
REINTEGROS 0,3 ,6
FECHA DEL SORTEO: 26/07/2025 --- FECHA DE CADUCIDAD: 26/01/2026
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00167 P .... 700.00
00293 TT .... 600.00
00394 P .... 600.00
00421 P .... 600.00
00530 TT .... 700.00
00705 P .... 1,000.00
00796 TT .... 500.00

MIL
01293 TT .... 600.00
01530 TT .... 700.00
01562 P .... 600.00
01796 TT .... 500.00

DOS MIL
02032 P .... 600.00
02088 P .... 1,000.00
02118 P .... 700.00
02293 TT .... 600.00
02530 TT .... 700.00
02796 TT .... 500.00

TRES MIL
03292 P .... 600.00
03293 TT .... 600.00
03530 TT .... 700.00
03701 C .... 500.00
03702 C .... 500.00
03703 CR .... 570.00
03704 C .... 500.00
03705 C .... 500.00
03706 CR .... 570.00
03707 C .... 500.00
03708 C .... 500.00
03709 C .... 500.00
03710 CR .... 570.00
03711 C .... 500.00
03712 C .... 500.00
03713 CR .... 570.00
03714 C .... 500.00
03715 C .... 500.00
03716 CR .... 570.00
03717 C .... 500.00
03718 C .... 500.00
03719 C .... 500.00
03720 CR .... 570.00
03721 C .... 500.00
03722 C .... 500.00
03723 CR .... 570.00
03724 C .... 500.00
03725 C .... 500.00
03726 CR .... 570.00
03727 C .... 500.00
03728 C .... 500.00
03729 C .... 500.00
03730 CR .... 570.00
03731 C .... 500.00
03732 C .... 500.00
03733 CR .... 570.00
03734 C .... 500.00
03735 C .... 500.00
03736 CR .... 570.00
03737 C .... 500.00
03738 C .... 500.00
03739 C .... 500.00
03740 CR .... 570.00
03741 C .... 500.00
03742 C .... 500.00
03743 CR .... 570.00
03744 C .... 500.00
03745 C .... 500.00
03746 CR .... 570.00
03747 C .... 500.00
03748 C .... 500.00
03749 C .... 500.00
03750 CR .... 570.00
03751 C .... 500.00
03752 C .... 500.00
03753 CR .... 570.00
03754 C .... 500.00
03755 C .... 500.00
03756 CR .... 570.00
03757 C .... 500.00
03758 C .... 500.00
