HEADER
LISTA DEL SORTEO ORDINARIO NO. 3078
|PRIMER PREMIO 01006 ||| SEGUNDO PREMIO 48378 ||| TERCER PREMIO 78955|
REINTEGROS 6,8 ,5
FECHA DEL SORTEO: 22/03/2025 --- FECHA DE CADUCIDAD: 22/09/2025
VER LISTA DE COMBINACIONES

BODY
CENTENARES
00006 TT .... 700.00
00011 P .... 1,000.00
00035 PR .... 3,070.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL JORGE EMILIO LUCERO CANALES, DE AMATITLÁN, GUATEMALA
00378 TT .... 600.00
00851 P .... 2,500.00
VENDIDO POR FABIAN CHIC CHIPEL, DE ESTA CAPITAL
00948 PR .... 670.00
00955 TT .... 500.00

00MIL
01001 C .... 700.00
01002 C .... 700.00
01003 C .... 700.00
01004 P .... 5,000.00
VENDIDO POR PERSONA CON DISCAPACIDAD VISUAL WALTER GIOVANY HERNÁNDEZ CASTILLO, DE AMATITLÁN, GUATEMALA
01005 PR .... 5,070.00
VENDIDO POR ANTONIO TUY PÉREZ, DE RETALHULEU, RETALHULEU
01006 P .... 1,000,000.00
VENDIDO POR TERESO AJCOT MALDONADO, DE ESTA CAPITAL
01007 P .... 5,000.00
NO VENDIDO
01008 PR .... 5,070.00
VENDIDO POR MIGUEL LORENZO IXCOTOYAC REYNOSO, DE ESTA CAPITAL
01009 C .... 700.00
01010 C .... 700.00
01011 C .... 700.00
01012 C .... 700.00
01013 C .... 700.00
01014 C .... 700.00
01015 CR .... 770.00
01016 CR .... 770.00
01017 C .... 700.00
01018 CR .... 770.00
01019 C .... 700.00
01020 C .... 700.00
01021 C .... 700.00
01022 C .... 700.00
01023 C .... 700.00
01024 C .... 700.00
01025 CR .... 770.00
01026 CR .... 770.00
01027 C .... 700.00
01028 CR .... 770.00
01029 C .... 700.00
01030 C .... 700.00
01031 C .... 700.00
01032 C .... 700.00
01033 C .... 700.00
01034 C .... 700.00
01035 CR .... 770.00
01036 CR .... 770.00
01037 C .... 700.00
01038 CR .... 770.00
01039 C .... 700.00
01040 C .... 700.00
01041 C .... 700.00
01042 C .... 700.00
01043 C .... 700.00
